DISTRICT_NAME,SUBCOUNTY_NAME,crop,production
ABIM,ABIM,maize_total_production_kg,306951.8167
ABIM,ABIM TOWN COUNCIL,maize_total_production_kg,299895.1917
ABIM,ALEREK,maize_total_production_kg,446294.5944
ABIM,LOTUKEI,maize_total_production_kg,322910.6857
ABIM,MORULEM,maize_total_production_kg,288070.5968
ABIM,NYAKWAE,maize_total_production_kg,258010.2444
AMUDAT,AMUDAT,maize_total_production_kg,1340672.952
AMUDAT,AMUDAT TOWN COUNCIL,maize_total_production_kg,2081.356199
AMUDAT,KARITA,maize_total_production_kg,1415591.549
AMUDAT,LOROO,maize_total_production_kg,788123.4753
KAABONG,KAABONG  EAST,maize_total_production_kg,10181.201
KAABONG,KAABONG TOWN COUNCIL,maize_total_production_kg,22772.63643
KAABONG,KAABONG WEST,maize_total_production_kg,59450.18942
KAABONG,KALAPATA,maize_total_production_kg,209806.097
KAABONG,KAMION,maize_total_production_kg,392864.0158
KAABONG,KAPEDO,maize_total_production_kg,744375.6816
KAABONG,KATHILE,maize_total_production_kg,976952.2116
KAABONG,KAWALAKOL,maize_total_production_kg,1412776.982
KAABONG,LOBALANGIT,maize_total_production_kg,990983.0661
KAABONG,LODIKO,maize_total_production_kg,61343.42645
KAABONG,LOLELIA,maize_total_production_kg,836095.3853
KAABONG,LOYORO,maize_total_production_kg,201613.3805
KAABONG,NAPORE (KARENGA),maize_total_production_kg,934881.6576
KAABONG,SIDOK,maize_total_production_kg,136265.6835
KOTIDO,KACHERI,maize_total_production_kg,600723.8929
KOTIDO,KOTIDO,maize_total_production_kg,959201.3825
KOTIDO,KOTIDO TOWN COUNCIL,maize_total_production_kg,9991.488268
KOTIDO,NAKAPERIMORU,maize_total_production_kg,38971.65908
KOTIDO,PANYANGARA,maize_total_production_kg,221609.5114
KOTIDO,RENGEN,maize_total_production_kg,179681.139
MOROTO,KATIKEKILE,maize_total_production_kg,56404.03821
MOROTO,NADUNGET,maize_total_production_kg,41687.92651
MOROTO,NORTHERN DIVISION,maize_total_production_kg,46.22440465
MOROTO,RUPA,maize_total_production_kg,155838.875
MOROTO,SOUTHERN DIVISION,maize_total_production_kg,0.0
MOROTO,TAPAC,maize_total_production_kg,168139.0047
NAKAPIRIPIRIT,KAKOMONGOLE,maize_total_production_kg,602917.1224
NAKAPIRIPIRIT,LOLACHAT,maize_total_production_kg,803244.7393
NAKAPIRIPIRIT,LOREGAE,maize_total_production_kg,963132.1158
NAKAPIRIPIRIT,LORENGEDWAT,maize_total_production_kg,63990.50457
NAKAPIRIPIRIT,MORUITA,maize_total_production_kg,1198586.875
NAKAPIRIPIRIT,NABILATUK,maize_total_production_kg,93265.78063
NAKAPIRIPIRIT,NAKAPIRIPIRIT TOWN COUNCIL,maize_total_production_kg,34961.59076
NAKAPIRIPIRIT,NAMALU,maize_total_production_kg,4365057.517
NAPAK,IRIIRI,maize_total_production_kg,3354666.348
NAPAK,LOKOPO,maize_total_production_kg,414509.6206
NAPAK,LOPEEI,maize_total_production_kg,1006139.305
NAPAK,LORENGECORA,maize_total_production_kg,301833.0535
NAPAK,LOTOME,maize_total_production_kg,39634.98127
NAPAK,MATANY,maize_total_production_kg,143401.6585
NAPAK,NAPAK TOWN COUNCIL,maize_total_production_kg,291177.2726
NAPAK,NGOLERIET,maize_total_production_kg,36017.14941
ABIM,ABIM,sorghum_total_production_kg,297515.4356
ABIM,ABIM TOWN COUNCIL,sorghum_total_production_kg,207827.0681
ABIM,ALEREK,sorghum_total_production_kg,469763.7415
ABIM,LOTUKEI,sorghum_total_production_kg,139742.9265
ABIM,MORULEM,sorghum_total_production_kg,244774.5413
ABIM,NYAKWAE,sorghum_total_production_kg,113046.948
AMUDAT,AMUDAT,sorghum_total_production_kg,161783.6037
AMUDAT,AMUDAT TOWN COUNCIL,sorghum_total_production_kg,8522.333678
AMUDAT,KARITA,sorghum_total_production_kg,263448.328
AMUDAT,LOROO,sorghum_total_production_kg,176546.0347
KAABONG,KAABONG  EAST,sorghum_total_production_kg,161334.8658
KAABONG,KAABONG TOWN COUNCIL,sorghum_total_production_kg,33211.80017
KAABONG,KAABONG WEST,sorghum_total_production_kg,189369.7394
KAABONG,KALAPATA,sorghum_total_production_kg,524810.4582
KAABONG,KAMION,sorghum_total_production_kg,107027.9169
KAABONG,KAPEDO,sorghum_total_production_kg,489244.5938
KAABONG,KATHILE,sorghum_total_production_kg,1872804.465
KAABONG,KAWALAKOL,sorghum_total_production_kg,671445.8717
KAABONG,LOBALANGIT,sorghum_total_production_kg,339760.6153
KAABONG,LODIKO,sorghum_total_production_kg,53380.63695
KAABONG,LOLELIA,sorghum_total_production_kg,581643.6093
KAABONG,LOYORO,sorghum_total_production_kg,374641.0935
KAABONG,NAPORE (KARENGA),sorghum_total_production_kg,79126.42475
KAABONG,SIDOK,sorghum_total_production_kg,245289.0679
KOTIDO,KACHERI,sorghum_total_production_kg,2279091.779
KOTIDO,KOTIDO,sorghum_total_production_kg,4582294.492
KOTIDO,KOTIDO TOWN COUNCIL,sorghum_total_production_kg,561476.4874
KOTIDO,NAKAPERIMORU,sorghum_total_production_kg,1915695.928
KOTIDO,PANYANGARA,sorghum_total_production_kg,3779939.224
KOTIDO,RENGEN,sorghum_total_production_kg,3515788.789
MOROTO,KATIKEKILE,sorghum_total_production_kg,9379.029413
MOROTO,NADUNGET,sorghum_total_production_kg,321630.539
MOROTO,NORTHERN DIVISION,sorghum_total_production_kg,17.28125956
MOROTO,RUPA,sorghum_total_production_kg,227298.5184
MOROTO,SOUTHERN DIVISION,sorghum_total_production_kg,19.67486547
MOROTO,TAPAC,sorghum_total_production_kg,49251.66081
NAKAPIRIPIRIT,KAKOMONGOLE,sorghum_total_production_kg,1113884.513
NAKAPIRIPIRIT,LOLACHAT,sorghum_total_production_kg,1459048.489
NAKAPIRIPIRIT,LOREGAE,sorghum_total_production_kg,1776221.59
NAKAPIRIPIRIT,LORENGEDWAT,sorghum_total_production_kg,361845.9121
NAKAPIRIPIRIT,MORUITA,sorghum_total_production_kg,79775.15368
NAKAPIRIPIRIT,NABILATUK,sorghum_total_production_kg,818976.9792
NAKAPIRIPIRIT,NAKAPIRIPIRIT TOWN COUNCIL,sorghum_total_production_kg,646.428982
NAKAPIRIPIRIT,NAMALU,sorghum_total_production_kg,1231328.374
NAPAK,IRIIRI,sorghum_total_production_kg,355630.2829
NAPAK,LOKOPO,sorghum_total_production_kg,704693.2144
NAPAK,LOPEEI,sorghum_total_production_kg,229480.5759
NAPAK,LORENGECORA,sorghum_total_production_kg,123725.0013
NAPAK,LOTOME,sorghum_total_production_kg,227589.5198
NAPAK,MATANY,sorghum_total_production_kg,346443.9786
NAPAK,NAPAK TOWN COUNCIL,sorghum_total_production_kg,67897.42082
NAPAK,NGOLERIET,sorghum_total_production_kg,153571.8541
