,DISTRICT_NAME,SUBCOUNTY_NAME,Crop,Yield
0,ABIM,ABIM,maize_yield_Kg/ha,1183.089648
1,ABIM,ABIM TOWN COUNCIL,maize_yield_Kg/ha,1061.151087
2,ABIM,ALEREK,maize_yield_Kg/ha,1259.122045
3,ABIM,LOTUKEI,maize_yield_Kg/ha,1003.30391
4,ABIM,MORULEM,maize_yield_Kg/ha,962.9581695
5,ABIM,NYAKWAE,maize_yield_Kg/ha,779.2250311
6,AMUDAT,AMUDAT,maize_yield_Kg/ha,1379.045945
7,AMUDAT,AMUDAT TOWN COUNCIL,maize_yield_Kg/ha,861.2084912
8,AMUDAT,KARITA,maize_yield_Kg/ha,1286.723173
9,AMUDAT,LOROO,maize_yield_Kg/ha,1196.08804
10,KAABONG,KAABONG  EAST,maize_yield_Kg/ha,650.1235648
11,KAABONG,KAABONG TOWN COUNCIL,maize_yield_Kg/ha,1229.213444
12,KAABONG,KAABONG WEST,maize_yield_Kg/ha,1056.416068
13,KAABONG,KALAPATA,maize_yield_Kg/ha,633.4231821
14,KAABONG,KAMION,maize_yield_Kg/ha,714.4757426
15,KAABONG,KAPEDO,maize_yield_Kg/ha,1030.064093
16,KAABONG,KATHILE,maize_yield_Kg/ha,1125.685462
17,KAABONG,KAWALAKOL,maize_yield_Kg/ha,871.612802
18,KAABONG,LOBALANGIT,maize_yield_Kg/ha,985.1926986
19,KAABONG,LODIKO,maize_yield_Kg/ha,815.2557286
20,KAABONG,LOLELIA,maize_yield_Kg/ha,1273.397362
21,KAABONG,LOYORO,maize_yield_Kg/ha,1303.403556
22,KAABONG,NAPORE (KARENGA),maize_yield_Kg/ha,765.3349255
23,KAABONG,SIDOK,maize_yield_Kg/ha,1396.991494
24,KOTIDO,KACHERI,maize_yield_Kg/ha,1137.467019
25,KOTIDO,KOTIDO,maize_yield_Kg/ha,1162.996687
26,KOTIDO,KOTIDO TOWN COUNCIL,maize_yield_Kg/ha,1167.005832
27,KOTIDO,NAKAPERIMORU,maize_yield_Kg/ha,852.3665784
28,KOTIDO,PANYANGARA,maize_yield_Kg/ha,1283.859882
29,KOTIDO,RENGEN,maize_yield_Kg/ha,1047.180128
30,MOROTO,KATIKEKILE,maize_yield_Kg/ha,546.1402942
31,MOROTO,NADUNGET,maize_yield_Kg/ha,591.2703553
32,MOROTO,NORTHERN DIVISION,maize_yield_Kg/ha,241.5384268
33,MOROTO,RUPA,maize_yield_Kg/ha,699.3343089
